countyFIPS,County_Name,State,Date,Confirmed,Deaths,population,Total_pop,Male_total_population,Female_total_population,Population under 5 years of age,Population 5 to 9 years old,Population 10 to 14 Years old,Population 15 to 19 Years old,Population 20 to 24 years old,Population 25 to 34 years old,Population 35 to 44 years old,Population 45 to 54 years old,Population 55 to 59 years old,Population 60 to 64 years old,Population 65 to 74 years old,Population 75 to 84 years old,Population 85 years and older
1003,baldwin county,AL,22-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,23-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,24-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,25-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,26-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,27-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,28-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,29-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,30-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,31-01-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,01-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,02-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,03-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,04-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,05-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,06-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,07-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,08-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,09-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,10-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,11-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,12-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,13-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,14-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,15-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,16-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,17-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,18-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,19-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,20-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,21-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,22-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,23-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,24-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,25-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,26-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,27-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,28-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,29-02-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,01-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,02-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,03-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,04-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,05-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,06-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,07-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,08-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,09-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,10-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,11-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,12-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,13-03-20,0,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,14-03-20,1,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,15-03-20,1,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,16-03-20,1,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,17-03-20,1,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,18-03-20,1,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,19-03-20,1,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,20-03-20,2,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,21-03-20,2,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,22-03-20,3,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,23-03-20,3,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,24-03-20,4,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,25-03-20,4,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,26-03-20,5,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,27-03-20,5,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,28-03-20,10,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,29-03-20,15,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,30-03-20,18,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,31-03-20,19,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,01-04-20,23,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,02-04-20,25,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,03-04-20,28,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
1003,baldwin county,AL,04-04-20,29,0,223234,218022,105437,112585,10878,9445,18093,13489,10426,23498,25990,30117,16569,15074,27152,13464,3827
56025,natrona county,WY,13-01-22,17938,246,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,14-01-22,18147,246,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,15-01-22,18147,246,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,16-01-22,18147,246,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,17-01-22,18147,246,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,18-01-22,18818,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,19-01-22,19091,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,20-01-22,19277,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,21-01-22,19541,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,22-01-22,19541,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,23-01-22,19541,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,24-01-22,19922,249,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,25-01-22,20137,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,26-01-22,20320,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,27-01-22,20575,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,28-01-22,20818,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,29-01-22,20818,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,30-01-22,20818,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,31-01-22,21077,253,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,01-02-22,21178,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,02-02-22,21315,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,03-02-22,21413,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,04-02-22,21501,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,05-02-22,21501,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,06-02-22,21501,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
56025,natrona county,WY,07-02-22,21596,255,79858,79115,39805,39310,4956,5020,5524,5367,4211,11593,10426,9214,5844,5060,7181,3032,1687
